customer_id,gender,senior_citizen,partner,dependents,contract_type,payment_method,paperless_billing,internet_service,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,monthly_charges,tenure_months,is_active,ticket_count,avg_satisfaction,churned,predicted_total_tenure_months,predicted_clv,segment_cluster,segment_label
CU-00067,Male,0,0,0,One year,Mailed check,1,Fiber optic,1,No,No,No,No,No,No,Yes,71.82,41,1,0,3.0,0,41.0,2944.62,0,High-Value Loyal
CU-00068,Female,0,0,1,Month-to-month,Mailed check,0,DSL,1,Yes,No,No,No,No,Yes,Yes,56.34,25,0,2,1.0,1,25.0,1408.5,1,Growing / Mid-Value
CU-00069,Male,1,1,1,Two year,Mailed check,0,DSL,1,Yes,No,No,Yes,No,No,Yes,62.19,14,1,0,3.0,0,15.531628514888904,965.91,2,Price-Sensitive
CU-00070,Female,0,1,1,Month-to-month,Electronic check,0,DSL,1,Yes,No,Yes,Yes,Yes,No,No,62.55,3,1,0,3.0,0,11.544270625650112,722.09,2,Price-Sensitive
CU-00071,Female,0,1,0,Month-to-month,Credit card (automatic),1,DSL,1,No,No,Yes,No,No,Yes,No,64.76,36,1,2,2.5,0,36.0,2331.36,1,Growing / Mid-Value
CU-00072,Male,0,1,0,Month-to-month,Bank transfer (automatic),0,DSL,1,Yes,No,Yes,No,No,No,Yes,58.0,25,0,0,3.0,1,25.0,1450.0,2,Price-Sensitive
CU-00073,Male,1,1,0,Month-to-month,Bank transfer (automatic),1,DSL,1,Yes,No,No,No,Yes,Yes,Yes,61.68,24,1,1,3.0,0,24.0,1480.32,2,Price-Sensitive
CU-00074,Female,0,0,1,Month-to-month,Mailed check,1,Fiber optic,0,No phone service,Yes,No,Yes,No,No,Yes,76.2,10,1,0,3.0,0,13.446321917857306,1024.61,2,Price-Sensitive
CU-00075,Female,0,0,0,Two year,Mailed check,0,DSL,1,No,No,Yes,No,No,Yes,No,54.34,32,1,1,5.0,0,32.0,1738.88,0,High-Value Loyal
CU-00076,Female,0,0,0,Two year,Bank transfer (automatic),1,Fiber optic,1,No,No,No,No,No,Yes,No,72.07,47,1,1,4.0,0,47.0,3387.29,0,High-Value Loyal
CU-00077,Female,0,1,0,Two year,Mailed check,0,DSL,1,No,No,Yes,No,No,Yes,Yes,66.97,18,1,0,3.0,0,18.0,1205.46,2,Price-Sensitive
CU-00078,Male,1,0,0,One year,Bank transfer (automatic),1,DSL,1,Yes,No,No,No,No,Yes,Yes,64.15,32,1,1,4.0,0,32.0,2052.8,0,High-Value Loyal
CU-00079,Male,0,0,1,One year,Electronic check,0,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,28.36,33,1,0,3.0,0,33.0,935.88,3,Low-Value / New
CU-00080,Male,0,0,0,Month-to-month,Mailed check,1,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,20,1,0,3.0,0,20.0,360.0,3,Low-Value / New
CU-00081,Female,1,0,0,Month-to-month,Electronic check,1,Fiber optic,1,No,No,Yes,No,Yes,Yes,Yes,85.5,22,0,3,5.0,1,22.0,1881.0,1,Growing / Mid-Value
CU-00082,Female,0,1,0,One year,Electronic check,1,Fiber optic,1,Yes,No,Yes,Yes,No,No,Yes,94.97,40,1,0,3.0,0,40.0,3798.8,0,High-Value Loyal
CU-00083,Male,0,0,0,Two year,Bank transfer (automatic),1,DSL,1,Yes,No,No,Yes,Yes,No,No,57.8,18,1,0,3.0,0,18.0,1040.4,2,Price-Sensitive
CU-00084,Male,0,0,1,Month-to-month,Electronic check,0,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.71,11,1,0,3.0,0,11.945206519503085,235.44,3,Low-Value / New
CU-00085,Male,0,1,1,Month-to-month,Credit card (automatic),1,DSL,1,Yes,No,Yes,No,No,No,Yes,55.84,24,1,1,3.0,0,24.0,1340.16,2,Price-Sensitive
CU-00086,Male,0,0,0,Month-to-month,Bank transfer (automatic),1,DSL,1,Yes,Yes,Yes,No,No,Yes,No,70.84,33,1,1,4.0,0,33.0,2337.72,0,High-Value Loyal
CU-00087,Female,1,1,0,Month-to-month,Bank transfer (automatic),0,Fiber optic,1,Yes,No,Yes,No,No,No,No,68.52,32,1,0,3.0,0,32.0,2192.64,0,High-Value Loyal
CU-00088,Female,0,1,0,One year,Electronic check,1,DSL,1,No,No,No,Yes,No,Yes,No,63.09,29,1,1,5.0,0,29.0,1829.61,0,High-Value Loyal
CU-00089,Female,0,1,1,Month-to-month,Electronic check,1,Fiber optic,1,Yes,No,No,Yes,No,No,Yes,77.12,37,1,1,3.0,0,37.0,2853.44,0,High-Value Loyal
CU-00090,Male,0,1,1,Month-to-month,Mailed check,0,DSL,0,No phone service,No,Yes,Yes,No,No,No,53.43,14,1,0,3.0,0,14.0,748.02,2,Price-Sensitive
CU-00091,Male,0,0,1,Month-to-month,Credit card (automatic),1,DSL,1,No,No,Yes,No,No,No,Yes,63.41,39,1,0,3.0,0,39.0,2472.99,0,High-Value Loyal
CU-00092,Female,0,1,0,One year,Electronic check,0,Fiber optic,1,No,Yes,Yes,No,No,Yes,No,94.33,14,0,0,3.0,1,14.0,1320.62,2,Price-Sensitive
CU-00093,Female,0,0,1,Month-to-month,Mailed check,0,Fiber optic,1,No,No,No,No,No,No,No,66.59,4,1,0,3.0,0,9.787831432497603,651.77,2,Price-Sensitive
CU-00094,Female,1,0,1,Two year,Electronic check,1,DSL,1,Yes,Yes,Yes,Yes,Yes,Yes,No,82.33,6,1,0,3.0,0,15.643773355020391,1287.95,2,Price-Sensitive
CU-00095,Female,0,0,0,Month-to-month,Bank transfer (automatic),0,DSL,1,Yes,No,No,Yes,No,No,No,56.61,5,1,1,4.0,0,16.198829552733933,917.02,2,Price-Sensitive
CU-00096,Male,0,0,0,Month-to-month,Bank transfer (automatic),1,DSL,1,No,Yes,No,Yes,Yes,Yes,Yes,78.84,24,1,2,4.5,0,24.0,1892.16,1,Growing / Mid-Value
CU-00097,Female,0,1,1,Month-to-month,Electronic check,1,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,23.1,18,1,0,3.0,0,18.0,415.8,3,Low-Value / New
CU-00098,Male,1,0,0,Month-to-month,Bank transfer (automatic),1,Fiber optic,1,No,Yes,No,No,No,Yes,Yes,84.07,3,0,0,3.0,1,3.0,252.21,2,Price-Sensitive
CU-00099,Male,0,1,0,Month-to-month,Credit card (automatic),1,Fiber optic,0,No phone service,Yes,Yes,No,Yes,No,Yes,85.02,4,0,1,5.0,1,4.0,340.08,2,Price-Sensitive
CU-00100,Male,0,0,0,Month-to-month,Mailed check,0,DSL,1,Yes,Yes,No,No,No,No,Yes,53.2,8,0,2,3.5,1,8.0,425.6,1,Growing / Mid-Value
CU-00101,Male,0,0,0,One year,Electronic check,1,Fiber optic,1,Yes,No,No,No,No,No,Yes,76.1,17,0,0,3.0,1,17.0,1293.7,2,Price-Sensitive
CU-00102,Female,1,1,0,Month-to-month,Electronic check,0,DSL,1,Yes,Yes,Yes,Yes,Yes,No,No,70.66,1,0,0,3.0,1,1.0,70.66,2,Price-Sensitive
CU-00103,Male,0,0,0,Two year,Credit card (automatic),1,Fiber optic,1,No,No,Yes,No,No,No,No,73.2,56,1,2,4.0,0,56.0,4099.2,0,High-Value Loyal
CU-00104,Female,0,1,1,Month-to-month,Mailed check,1,Fiber optic,1,Yes,No,No,Yes,No,No,No,71.81,17,1,0,3.0,0,17.0,1220.77,2,Price-Sensitive
CU-00105,Female,0,0,1,Month-to-month,Mailed check,1,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,28.61,7,1,0,3.0,0,9.946044163896973,284.56,3,Low-Value / New
CU-00106,Male,0,0,1,Month-to-month,Electronic check,1,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,29.7,5,1,0,3.0,0,9.976837921161314,296.31,3,Low-Value / New
CU-00107,Male,0,0,0,Two year,Credit card (automatic),0,DSL,1,No,No,No,Yes,Yes,No,No,62.92,62,1,0,3.0,0,62.0,3901.04,0,High-Value Loyal
CU-00108,Female,0,1,0,Month-to-month,Bank transfer (automatic),1,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.43,28,1,0,3.0,0,28.0,600.04,3,Low-Value / New
CU-00109,Male,0,0,0,Month-to-month,Electronic check,0,DSL,1,No,No,No,No,Yes,No,Yes,68.52,4,1,1,5.0,0,15.588181560129948,1068.1,2,Price-Sensitive
CU-00110,Male,1,0,0,Month-to-month,Electronic check,1,DSL,1,No,No,No,Yes,No,Yes,No,63.89,10,0,0,3.0,1,10.0,638.9,2,Price-Sensitive
CU-00111,Male,1,0,0,One year,Credit card (automatic),1,DSL,1,No,No,No,No,No,Yes,No,45.91,14,1,1,3.0,0,16.3359242640765,749.98,3,Low-Value / New
CU-00112,Male,0,1,1,One year,Bank transfer (automatic),0,Fiber optic,1,No,No,Yes,Yes,No,No,No,79.54,18,0,0,3.0,1,18.0,1431.72,2,Price-Sensitive
CU-00113,Female,0,1,0,Month-to-month,Electronic check,0,Fiber optic,1,Yes,No,No,No,Yes,No,Yes,78.73,10,0,2,3.5,1,10.0,787.3,1,Growing / Mid-Value
CU-00114,Female,0,1,0,One year,Bank transfer (automatic),0,DSL,1,Yes,Yes,No,No,No,No,No,51.68,32,1,1,5.0,0,32.0,1653.76,0,High-Value Loyal
CU-00115,Female,0,0,0,Month-to-month,Mailed check,1,DSL,1,No,Yes,No,No,Yes,Yes,No,66.76,2,0,0,3.0,1,2.0,133.52,2,Price-Sensitive
CU-00116,Female,0,1,0,Month-to-month,Bank transfer (automatic),1,DSL,1,Yes,Yes,No,Yes,No,No,No,53.02,31,1,0,3.0,0,31.0,1643.62,0,High-Value Loyal
CU-00117,Female,0,1,1,One year,Electronic check,1,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24.7,13,1,0,3.0,0,16.002460583567686,395.26,3,Low-Value / New
CU-00118,Male,0,1,1,Two year,Mailed check,1,Fiber optic,1,Yes,No,Yes,Yes,No,No,No,77.76,32,1,0,3.0,0,32.0,2488.32,0,High-Value Loyal
CU-00119,Female,0,1,0,One year,Electronic check,0,DSL,1,Yes,No,Yes,No,No,No,No,55.18,15,1,0,3.0,0,15.494195669059604,854.97,2,Price-Sensitive
CU-00120,Female,0,1,0,Month-to-month,Electronic check,1,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24.03,4,1,1,5.0,0,7.25355040867998,174.3,3,Low-Value / New
CU-00121,Female,0,0,0,Month-to-month,Electronic check,1,DSL,1,Yes,No,Yes,No,No,No,No,51.09,10,1,1,5.0,0,15.297355580025563,781.54,2,Price-Sensitive
CU-00122,Female,0,1,1,Two year,Electronic check,0,Fiber optic,1,No,Yes,No,Yes,No,Yes,Yes,95.53,5,1,0,3.0,0,16.289502420137147,1556.14,2,Price-Sensitive
CU-00123,Male,0,1,0,Month-to-month,Electronic check,1,Fiber optic,1,No,No,No,No,Yes,No,No,78.12,12,1,0,3.0,0,12.990224678155457,1014.8,2,Price-Sensitive
CU-00124,Male,1,0,0,One year,Credit card (automatic),1,DSL,1,No,No,No,No,No,No,No,43.59,5,0,0,3.0,1,5.0,217.95,3,Low-Value / New
CU-00125,Male,0,0,0,One year,Credit card (automatic),1,DSL,1,No,No,Yes,No,No,Yes,No,56.49,35,1,0,3.0,0,35.0,1977.15,0,High-Value Loyal
CU-00126,Male,0,1,0,One year,Electronic check,1,Fiber optic,1,No,No,No,No,Yes,Yes,No,77.89,38,1,1,4.0,0,38.0,2959.82,0,High-Value Loyal
CU-00127,Female,0,0,0,Month-to-month,Bank transfer (automatic),1,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,26.19,7,0,0,3.0,1,7.0,183.33,3,Low-Value / New
CU-00128,Female,0,1,0,Month-to-month,Bank transfer (automatic),1,Fiber optic,0,No phone service,Yes,No,No,No,Yes,No,70.04,11,1,2,3.0,0,23.206739103236544,1625.4,1,Growing / Mid-Value
CU-00129,Male,1,0,0,Month-to-month,Electronic check,0,Fiber optic,1,No,No,No,Yes,No,No,No,68.2,26,1,0,3.0,0,26.0,1773.2,0,High-Value Loyal
CU-00130,Female,0,0,0,Two year,Electronic check,0,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,27.01,45,1,1,3.0,0,45.0,1215.45,3,Low-Value / New
CU-00131,Male,0,0,1,Month-to-month,Mailed check,1,Fiber optic,1,Yes,Yes,No,No,No,No,Yes,86.31,10,1,0,3.0,0,11.276992225003488,973.32,2,Price-Sensitive
CU-00132,Male,0,0,0,Month-to-month,Mailed check,0,DSL,1,Yes,No,No,Yes,No,No,No,52.51,14,0,1,4.0,1,14.0,735.14,2,Price-Sensitive
CU-00133,Male,0,0,0,One year,Bank transfer (automatic),1,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,25.77,49,1,0,3.0,0,49.0,1262.73,3,Low-Value / New
CU-00134,Male,1,0,1,Month-to-month,Mailed check,1,Fiber optic,1,No,No,No,No,Yes,No,No,69.43,5,1,0,3.0,0,9.509203909157437,660.22,2,Price-Sensitive
CU-00135,Female,0,1,1,Month-to-month,Electronic check,1,DSL,1,No,No,No,No,No,No,Yes,58.96,5,1,0,3.0,0,11.397989254653263,672.03,2,Price-Sensitive
CU-00136,Male,0,1,0,One year,Bank transfer (automatic),1,Fiber optic,1,No,No,No,Yes,No,No,Yes,81.78,17,1,1,5.0,0,17.0,1390.26,2,Price-Sensitive
CU-00137,Female,0,0,0,Two year,Electronic check,1,Fiber optic,1,Yes,No,Yes,No,Yes,No,No,83.37,4,1,1,4.0,0,17.8191168086309,1485.58,2,Price-Sensitive
CU-00138,Female,0,0,0,Month-to-month,Electronic check,0,DSL,1,No,No,No,No,Yes,Yes,Yes,64.84,10,0,1,4.0,1,10.0,648.4,2,Price-Sensitive
CU-00139,Male,0,1,1,Two year,Bank transfer (automatic),1,DSL,1,No,Yes,No,No,No,No,Yes,59.85,53,1,2,5.0,0,53.0,3172.05,0,High-Value Loyal
CU-00140,Female,0,1,1,Month-to-month,Bank transfer (automatic),0,Fiber optic,1,Yes,Yes,No,No,No,Yes,No,78.1,3,0,0,3.0,1,3.0,234.3,2,Price-Sensitive
CU-00141,Female,0,0,0,One year,Mailed check,1,Fiber optic,1,No,No,No,No,Yes,No,No,65.24,19,1,0,3.0,0,19.0,1239.56,2,Price-Sensitive
CU-00142,Male,0,0,0,Month-to-month,Electronic check,1,Fiber optic,1,No,No,No,Yes,No,No,Yes,75.7,1,0,0,3.0,1,1.0,75.7,2,Price-Sensitive
